Title,zero-shot classification,two-shot classification
Portrait of Elizabeth Kerr,Royalcore,Royalcore
Portrait of Sir Henry Peirse (Pompeo Batoni),Baroque,Light Academia
The Mysteries of the Horizon,Surrealism,Surrealism
Portrait of Pope Pius VII,Baroque,Baroque
Ulysses Deriding Polyphemus,Romantic Academia,Dark Academia
Galatea (Raphael),Angelcore,Renaissance
The Harvest Wagon,Cottagecore,Pastoral
The Telescope (Magritte),Dreamcore,Surrealism
Dead Christ (Palmezzano),Dark Academia,Dark Academia
Girl Interrupted at Her Music,Baroque,Dark Academia
Las Hilanderas (Velázquez),Dark Academia,Dark Academia
Over the Top (painting),Warcore,Trenchcore
Portrait of Sebastián de Morra,Baroque,Baroque
Apparition of Face and Fruit Dish on a Beach,Surrealism,Surrealism
Whistler's Mother,Dark Academia,Art Hoe
The Battle of Anghiari (Leonardo da Vinci),Dark Academia,Dark Academia
"Self-Portrait (Rubens, 1638–1639)",Baroque,Baroque
Portrait of a Lady with a Squirrel and a Starling,Dark Academia,Art History Aesthetic
Ida Reading a Letter,Dark Academia,Mystic Core
Arles: View from the Wheat Fields,Cottagecore,Vintage
River Landscape with a Boar Hunt,Dark Academia,Dark Academia
The Headless Horseman Pursuing Ichabod Crane,Dark Academia,Dark Academia
Santa Fina Chapel,Renaissancecore,Angelcore
Portrait of a Man in a Yellowish-Gray Jacket,Baroque,Baroquecore
Portrait of an Army Doctor,Cubecore,Cubecore
Seated Nude (1917),Art Hoe,Light Academia
Streatham portrait,Dark Academia,Dark Academia
Wrestlers (Eakins),Dark Academia,Dark Academia
Frederick Augustus Conrad Muhlenberg by Joseph Wright,Dark Academia,Queencore
Madonna with the Blue Diadem,Baroque,Renaissance
Portrait of a Man (Titian),Renaissance,Dark Academia
The Fortune Teller (de La Tour),Rococo,
Paris Street; Rainy Day,Victorian,
Les Gentilshommes du Duc d'Orléans,Royalcore,
Chalk Cliffs on Rügen,Romantic Academia,
Madonna and Child with a Bishop,Catholiccore,
A Philosopher Lecturing on the Orrery,Dark Academia,
The Bravo (Titian),Dark Academia,
Expulsion from the Garden of Eden,Renaissance,
New York skyscrapers (O'Keeffe),Cyberpunk,
Miracle of the Relic of the Cross at the Ponte di Rialto,Dark Academia,
Martinengo Altarpiece,Baroque,
Napoléon on the Battlefield of Eylau,Historical Fiction,
Pastoral Concert,Renaissance,
The Inquisition Tribunal,Dark Academia,
Woman with a Hat,Avant-Garde,
The Council Chamber in Amsterdam Town Hall,Baroque,
Wood splitters,Cottagecore,
Green Wheat Field with Cypress,Cottagecore,
"At the Moulin Rouge, The Dance",Dark Academia,
Not to Be Reproduced,Surrealism,
Romeo and Juliet: the Tomb Scene,Dark Academia,
Two Watermills and an Open Sluice near Singraven,Dark Academia,
Ploughing in the Nivernais,Cottagecore,
In a Roman Osteria,Dark Academia,
La Mousmé,Art Hoe,
Portrait of Georg Fugger,Dark Academia,
The Resurrection (Piero della Francesca),Renaissance,
Poplars (Monet series),Impressionism,
The Meeting Between Abraham and Melchizedek (Rubens),Baroque,
The Three Crosses,Dark Academia,
Walk on the Beach,Light Academia,
The Architect's Dream,Dark Academia,
Head on a Green Sofa,Baroque,
Ferdinand Lured by Ariel,Fairycore,
Christ on the Cross Adored by Two Donors,Dark Academia,
Christ on the Mount of Olives (Paul Gauguin),Dark Academia,
Le concert champêtre,Cottagecore,
Aqueduct near Rome,Ruincore,
Sacred and Profane Love,Renaissance,
"Christ Carrying the Cross (Bosch, Ghent)",Dark Academia,
The Three Ages of Woman (Klimt),Art Nouveau,
Black Woman with Peonies,Cottagecore,
San Gregorio Polyptych,Dark Academia,
Portrait of a Man (Batoni),Rococo,
Madonna of Chancellor Rolin,Baroque,
Pope Paul III and His Grandsons,Baroque,
The Story of Virginia (Botticelli),Renaissance,
God the Father with Two Saints,Baroque,
Portrait of Eleanor of Toledo,Rococo,
The Harlequin's Carnival,Surreal,
Chez le père Lathuille,Cottagecore,
"Extreme Unction, c. 1638–1640",Baroque,
Flag (painting),Americana,
April Love (painting),Cottagecore,
The Dying Dandy,Dark Academia,
The Avenue in the Rain,Americana,
Head of the Redeemer,Angelcore,
Pazzi Crucifixion,Baroque,
The Reading Room (painting),Dark Academia,
"Supper at Emmaus (Caravaggio, London)",Dark Academia,
The Tortoise Trainer,Orientalism,
Broken Eggs (Metropolitan Museum of Art),Baroque,
"The King Drinks (Jordaens, Brussels)",Baroque,
Interior with a Child Feeding a Parrot,Baroque,
Flood Plain (painting),Rural,
General Officers of World War I,Trenchcore,
Head of a Walrus,Dark Academia,
View of Paris from Vincent's Room in the Rue Lepic,Impressioncore,
A Lady and Gentleman in Black,Baroque,
Christ on the Cross (David),Dark Academia,
Still Life with Sweets,Baroque,
Une fleur,Angelcore,
Comminges and Adelaide in the Trappist Monastery,Dark Academia,
Self-Portrait (Lampi),Dark Academia,
Gloucester Harbor (William Morris Hunt),Impressionism,
Florinda (painting),Romantic Academia,
Venus plays the Harp (Giovanni Lanfranco),Baroque,
A Girl Asleep,Baroque,
Portrait of Catherine Balebina,Dark Academia,
The Hunt in the Forest,Dark Academia,
"Jo, the Beautiful Irishwoman",Pre-Raphaelite,
The Martyrdom of Saint Maurice,Baroque,
The Charging Chasseur,Dark Academia,
A Young Man Being Introduced to the Seven Liberal Arts,Dark Academia,
Virgin Enthroned with Saints (Signorelli),Dark Academia,
Piping Shepherds (Aelbert Cuyp),Cottagecore,
Dressing for the Carnival,Folk,
"Moonlight, Wood Island Light",Dark Academia,
San Marco Altarpiece,Renaissancecore,
Madonna and Child with St Peter Martyr and a Donor,Dark Academia,
La baigneuse blonde (1881),Art Hoe,
"Christ Carrying the Cross (Bosch, Vienna)",Medieval,
The Monarch of the Glen (painting),Cottagecore,
Tabernacle of the Linaioli,Baroque,
Vues des ports de France,Regencycore,
The Second of May 1808,Dark Academia,
A Clinical Lesson at the Salpêtrière,Dark Academia,
Madonna of Humility (Fra Angelico),Baroque,
David and Jonathan (Rembrandt),Baroque,
Diana Returning from the Hunt,Rococo,
Three of the Players,Cubism,
Sleeping Venus (Giorgione),Renaissance,
Madonna of Foligno,Baroque,
Annunciation with two Kneeling Donors (Lippi),Renaissancecore,
The Threatened Swan,Dark Academia,
Portrait of Christina of Denmark,Dark Academia,
Santa Lucia de' Magnoli Altarpiece,Baroque,
The Defense of the Sampo,Mythpunk,
White House at Night,Post-Impressionism,
Fantine (painting),Dark Academia,
The Weeping Woman (Rembrandt),Cubecore,
Crab on its Back,Van Gogh Aesthetic,
Holy Family with a Shepherd,Baroque,
Lady Cockburn and Her Three Eldest Sons,Royalcore,
Self-portrait with the Colosseum,Dark Academia,
Portrait of Leslie W. Miller,Dark Academia,
Lamentation (Gerard David),Dark Academia,
Napoleon I on His Imperial Throne,Royalcore,
Caspar David Friedrich in his Studio,Art Hoe,
A Man Reading (Saint Ivo?),Dark Academia,
Madonna of the Swallow,Rococo,
Portrait of Bishop Bernardo de' Rossi,Baroque,
Susanna and the Elders (Tintoretto),Baroque,
Triptych of the Annunciation,Medieval,
Self-Portrait with Beret and Turned-Up Collar,Dark Academia,
The Face of War,Surrealism,
The Chess Players (Eakins painting),Dark Academia,
Charles IV of Spain and His Family,Royalcore,
The Torment of Saint Anthony,Dark Academia,
A Session of the Painting Jury,Dark Academia,
Mother with a Child and a Chambermaid,Dark Academia,
The Lace Maker,Cottagecore,
Portrait of Vincenzo Mosti,Baroque,
Aline Chassériau,Dark Academia,
"Impression, Sunrise",Pastel,
Christ Crucified (Velázquez),Dark Academia,
The Fall of the Rebel Angels (Bruegel),Dark Academia,
"Holy Family (El Greco, Museo de Santa Cruz)",Baroque,
Judith at the Banquet of Holofernes,Royalcore,
Portrait of George Dyer Talking,Surreal,
The Babylonian Marriage Market,Ancient,
Lamentation of Christ (Massys),Dark Academia,
The Laundress (Greuze),Cottagecore,
Hercules fighting Nemean lion,Dark Academia,
Panciatichi Assumption,Baroque,
Perseus Freeing Andromeda (Rubens),Baroque,
Girl with a Racquet,Rococo,
The Light of the World (painting),Dark Academia,
Cardplayers in a Sunlit Room,Baroque,
"Landscape, Branchville",Cottagecore,
The Man with the Golden Helmet,Dark Academia,
The Scream,Dark Academia,
West Wyalong (Drysdale),Liminal Space,
Landscape with a Church at Twilight,Dark Academia,
Portrait of François Buron,Baroque,
Breton Women at a Wall,Fauvism,
Landscape with Dunes,Cottagecore,
Triptych of the Sedano family,Catholic Core,
Nursing Madonna with an Angel,Baroque,
"Portrait of a Woman, probably a Member of the Van Beresteyn Family",Rococo,
Jesus and the Samaritan Woman,Baroque,
Roman Capriccio: The Pantheon and Other Monuments,Roman/Greco-Roman,
The Repast of the Lion,Jungalow,
Altarpiece of the Holy Sacrament,Dark Academia,
Madonna with Child Enthroned between Saints John the Baptist and Sebastian,Renaissance,
Stańczyk (painting),Dark Academia,
Hunter's Home,Cottagecore,
Dresden Triptych,Dark Academia,
The Destruction of Sodom And Gomorrah,Apocalypse Aesthetic,
Battle of Grunwald (Matejko),Baroque,
Circe Invidiosa,Dark Academia,
Portrait of Margaret van Eyck,Old Masters,
Mademoiselle Caroline Rivière,Regencycore,
Dead Germans in a Trench,Dark Academia,
Return of the Sun,Surrealism,
Stitching the Standard,Medieval,
The Loves of Paris and Helen,Classicism,
The Battle of Waterloo: The British Squares Receiving the Charge of the French Cuirassiers,Dark Academia,
The Demon Downcast,Dark Academia,
The Vision of the Cross,Renaissance,
Landscape with Saint John on Patmos,Dark Academia,
Christ the Redeemer (Mantegna),Dark Academia,
Portrait of Isabel Rawsthorne Standing in a Street in Soho,Surrealism,
Panorama Mesdag,Vintage,
The Swing (Pierre-Auguste Renoir),Cottagecore,
Watson and the Shark,Dark Academia,
Madonna della tenda,Catholic Art,
The Seamstress (painting),Cottagecore,
Consecration of Aloysius Gonzaga as patron saint of youth,Baroque,
Self-portrait with Easel,Dark Academia,
Virgin and Child with Saints Barbara and Catherine,Dark Academia,
Spring (Édouard Manet painting),Cottagecore,
Reclining Nayar lady,Indo-Aesthetic,
Cubist Landscape,Avant-garde,
Trigraph of Christ,Dark Academia,
Portrait of a Young Gentleman,Baroque,
"Shirley Temple, The Youngest, Most Sacred Monster of the Cinema in Her Time",Surrealism,
Passerini Assumption,Baroque,
The Ironworkers' Noontime,Dark Academia,
On the Threshold of Liberty,Surrealism,
"Cow's Skull: Red, White, and Blue",Western,
