Title,Image,Coder 1 Annotation,Coder 2 Annotation,Coder 4 Annotation
Water Mill at Gennep,https://upload.wikimedia.org/wikipedia/commons/3/30/F46-Raderen-Genneper-watermolen.jpg,Cottagecore,Southern Gothic,Liminal Space
Baptism in Kansas,https://upload.wikimedia.org/wikipedia/commons/f/fd/31.159_curry_imageprimacy_800-676x548.jpg,Peoplehood,Southern Gothic,Peoplehood
Portrait of a Young Man with a Book (Bronzino),https://upload.wikimedia.org/wikipedia/commons/f/f3/Agnolo_Bronzino_-_Portrait_of_a_Young_Man.jpg,Dark Academia,Coquette,Old Money
Juno and Argus,https://upload.wikimedia.org/wikipedia/commons/0/0c/Koeln_wrm_1040.jpg,Queencore,Queencore,Queencore
Two Women Bathing,https://upload.wikimedia.org/wikipedia/commons/8/8d/Deux_femmes_au_bain_Joseph-Marie_Vien_mus%C3%A9e_de_Cahors_Henri-Martin_Ca.1.32.jpg,Teenage Dream,Clean Girl,Clean Girl
"Venus and Adonis (Veronese, Augsburg)",https://upload.wikimedia.org/wikipedia/commons/0/0b/Veronese%2C_Paolo_-_Venus_and_Adonis_-_c._1562.jpg,Lovecore,Lovecore,Lovecore
Falling Autumn Leaves,https://upload.wikimedia.org/wikipedia/commons/2/29/Lane_at_Alchamps%2C_Arles_1888_Paul_Gauguin.jpg,Naturecore,Comfy/Cozy,Naturecore
Portrait of Elizabeth Kerr,https://upload.wikimedia.org/wikipedia/commons/1/11/Elizabeth_Kerr_of_Lothian_%281745-1780%29_by_Joshua_Reynolds.jpg,Queencore,Waif,Queencore
Portrait of Sir Henry Peirse (Pompeo Batoni),https://upload.wikimedia.org/wikipedia/commons/6/6c/Henry_Peirse_Batoni.jpg,Old Money,Old Money,Old Money
The Mysteries of the Horizon,https://upload.wikimedia.org/wikipedia/en/e/e7/Mysteries_of_the_Horizon.jpg,Dreamcore,After Hours,Dazecore
Portrait of Pope Pius VII,https://upload.wikimedia.org/wikipedia/commons/4/4f/Jacques-Louis_David_018.jpg,Red Academia,Red Academia,Old Money
Ulysses Deriding Polyphemus,https://upload.wikimedia.org/wikipedia/commons/0/07/Joseph_Mallord_William_Turner_064.jpg,Warmcore,Warmcore,Warmcore
Galatea (Raphael),https://upload.wikimedia.org/wikipedia/commons/6/61/Raphael_Galatea.jpg,Waif,Lovecore,Angelcore
The Harvest Wagon,https://upload.wikimedia.org/wikipedia/commons/e/e4/Gainsborough-HarvestWagon1784.jpg,Cottagecore,Cottagecore,Cottagecore
The Telescope (Magritte),https://upload.wikimedia.org/wikipedia/en/8/8b/Magritte_The_Telescope.jpg,Dreamcore,Dazecore,Weirdcore
Dead Christ (Palmezzano),https://upload.wikimedia.org/wikipedia/en/c/c2/Cristo_Palmezzano.jpg,Dethereal,Peoplehood,Dazecore
Girl Interrupted at Her Music,https://upload.wikimedia.org/wikipedia/commons/1/14/Vermeer_Girl_Interrupted_at_Her_Music.jpg,Comfy/Cozy,That Girl,Coquette
Las Hilanderas (Velázquez),https://upload.wikimedia.org/wikipedia/commons/a/a3/Velazquez-las_hilanderas.jpg,Peoplehood,Peoplehood,Peoplehood
Over the Top (painting),https://upload.wikimedia.org/wikipedia/en/5/5b/Nash%2C_John_%28RA%29_-_%27Over_The_Top%27._1st_Artists%27_Rifles_at_Marcoing%2C_30th_December_1917_-_Google_Art_Project.jpg,Trenchcore,Slavic Violence Tumblr,Trenchcore
Portrait of Sebastián de Morra,https://upload.wikimedia.org/wikipedia/commons/d/d4/Vel%C3%A1zquez_%E2%80%93_Buf%C3%B3n_don_Sebasti%C3%A1n_de_Morra_%28Museo_del_Prado%2C_c._1645%29.jpg,Red Academia,Hopecore,Old Money
Apparition of Face and Fruit Dish on a Beach,https://upload.wikimedia.org/wikipedia/en/3/3c/Face_and_Fruit_Dish.jpg,Dreamcore,Dreamcore,Weirdcore
Whistler's Mother,https://upload.wikimedia.org/wikipedia/commons/1/1b/Whistlers_Mother_high_res.jpg,Waif,Waif,Waif
The Battle of Anghiari (Leonardo da Vinci),https://upload.wikimedia.org/wikipedia/commons/4/4c/Leonardo_da_vinci%2C_Battle_of_Anghiari_%28Tavola_Doria%29.jpg,Slavic Violence Tumblr,Imaginarium,Castlecore
"Self-Portrait (Rubens, 1638–1639)",https://upload.wikimedia.org/wikipedia/commons/3/37/Peter_Paul_Rubens_-_Selfportrait_-_Google_Art_Project.jpg,Dark Academia,Old Money,Old Money
Portrait of a Lady with a Squirrel and a Starling,https://upload.wikimedia.org/wikipedia/commons/9/96/Lady_with_a_Squirrel.jpg,Old Money,Old Money,Old Money
Ida Reading a Letter,https://upload.wikimedia.org/wikipedia/commons/b/bb/Hammershoi_Ida_Reading_a_Letter.jpg,Sadpeople,2014 Tumblr,Dazecore
Arles: View from the Wheat Fields,https://upload.wikimedia.org/wikipedia/commons/8/89/Van_Gogh_-_Weizenfeld_mit_Blick_auf_Arles.jpeg,Warmcore,Warmcore,Warmcore
River Landscape with a Boar Hunt,https://upload.wikimedia.org/wikipedia/commons/2/2b/Joost_de_Momper_d._J._002.jpg,Naturecore,Castlecore,Naturecore
The Headless Horseman Pursuing Ichabod Crane,https://upload.wikimedia.org/wikipedia/commons/b/b8/John_Quidor_-_The_Headless_Horseman_Pursuing_Ichabod_Crane_-_Google_Art_Project.jpg,Dethereal,Dethereal,Dethereal
Santa Fina Chapel,https://upload.wikimedia.org/wikipedia/commons/9/9c/Ghirlandaio%2C_Announcement_of_Death_to_St_Fina.jpg,Angelcore,That Girl,Angelcore
Portrait of a Man in a Yellowish-Gray Jacket,https://upload.wikimedia.org/wikipedia/commons/7/7f/Frans_Hals_-_Portrait_of_a_Man_-_WGA11126.jpg,Dark Academia,Hopecore,Old Money
Portrait of an Army Doctor,https://upload.wikimedia.org/wikipedia/en/e/ee/Albert_Gleizes%2C_1914-15%2C_Portrait_of_an_Army_Doctor_%28Portrait_d%27un_m%C3%A9decin_militaire%29%2C_oil_on_canvas%2C_119.8_x_95.1_cm%2C_Solomon_R._Guggenheim_Museum.jpg,Weirdcore,Weirdcore,Weirdcore
Seated Nude (1917),https://upload.wikimedia.org/wikipedia/commons/b/be/Zittend_naakt%2C_Amedeo_Modigliani%2C_%281917%29%2C_Koninklijk_Museum_voor_Schone_Kunsten_Antwerpen%2C_2060.jpg,Bimbocore,That Girl,Vanilla Girl
Streatham portrait,https://upload.wikimedia.org/wikipedia/commons/8/87/Streathamladyjayne.jpg,Queencore,Red Academia,Queencore
Wrestlers (Eakins),https://upload.wikimedia.org/wikipedia/commons/a/a5/Eakins%2C_Thomas_%281844-1916%29_-_Lottatori_2.jpg,Sigma,Lovecore,Lovecore
Frederick Augustus Conrad Muhlenberg by Joseph Wright,https://upload.wikimedia.org/wikipedia/commons/8/88/Frederick_Muhlenberg.jpg,Phony Bureaucracy,That Girl,Old Money
Madonna with the Blue Diadem,https://upload.wikimedia.org/wikipedia/commons/b/ba/La_Vierge_au_voile%2C_by_Raffaello_Sanzio%2C_from_C2RMF_retouched.jpg,Ethereal,Dreamy,Queencore
Portrait of a Man (Titian),https://upload.wikimedia.org/wikipedia/commons/5/5c/Portrait_of_a_Man_MET_DT2774.jpg,Dark Academia,Dark Academia,Dazecore
The Fortune Teller (de La Tour),https://upload.wikimedia.org/wikipedia/commons/c/c2/Georges_de_La_Tour_016.jpg,Peoplehood,That Girl,Peoplehood
Paris Street; Rainy Day,https://upload.wikimedia.org/wikipedia/commons/1/17/Gustave_Caillebotte_-_Paris_Street%3B_Rainy_Day_-_Google_Art_Project.jpg,Peoplehood,Peoplehood,Pink Parisian
Les Gentilshommes du Duc d'Orléans,https://upload.wikimedia.org/wikipedia/commons/e/ee/Les_gentilhommes_du_duc_d%E2%80%99Orl%C3%A9ans.jpg,Old Money,Peoplehood,Old Money
Chalk Cliffs on Rügen,https://upload.wikimedia.org/wikipedia/commons/a/a7/Caspar_David_Friedrich%27s_Chalk_Cliffs_on_R%C3%BCgen.jpg,Warmcore,Dreamy,Cottagecore
Madonna and Child with a Bishop,https://upload.wikimedia.org/wikipedia/commons/1/1d/Francisco_de_Borja.jpg,Angelcore,Comfy/Cozy,Hopecore
A Philosopher Lecturing on the Orrery,https://upload.wikimedia.org/wikipedia/commons/d/d3/Wright_of_Derby%2C_The_Orrery.jpg,Dark Academia,Dark Academia,Peoplehood
The Bravo (Titian),https://upload.wikimedia.org/wikipedia/commons/8/82/Tiziano%2C_i_bravi.jpg,Dark Academia,Dark Academia,Dark Academia
Expulsion from the Garden of Eden,https://upload.wikimedia.org/wikipedia/commons/3/37/Masaccio-TheExpulsionOfAdamAndEveFromEden-Restoration.jpg,Sadpeople,Angelcore,Traumacore
New York skyscrapers (O'Keeffe),https://upload.wikimedia.org/wikipedia/en/a/a2/Radiator_Building_-_Night%2C_New_York%2C_1927.jpg,Liminal Space,After Hours,Liminal Space
Miracle of the Relic of the Cross at the Ponte di Rialto,https://upload.wikimedia.org/wikipedia/commons/9/9d/Accademia_-_Miracle_of_the_Holy_Cross_at_Rialto_by_Vittore_Carpaccio.jpg,Peoplehood,Dreamy,Dreamy
Martinengo Altarpiece,https://upload.wikimedia.org/wikipedia/commons/8/8e/Lorenzo_Lotto_012.jpg,Angelcore,That Girl,Angelcore
Napoléon on the Battlefield of Eylau,https://upload.wikimedia.org/wikipedia/commons/7/77/Antoine-Jean_Gros_-_Napoleon_on_the_Battlefield_of_Eylau_-_Google_Art_Project.jpg,Trenchcore,Sigma,Trenchcore
Pastoral Concert,https://upload.wikimedia.org/wikipedia/commons/4/4d/Le_Concert_champ%C3%AAtre%2C_by_Titian%2C_from_C2RMF_retouchedFXD.jpg,Teenage Dream,Cottagecore,Cottagecore
The Inquisition Tribunal,https://upload.wikimedia.org/wikipedia/commons/d/dd/Francisco_de_Goya_-_Escena_de_Inquisici%C3%B3n_-_Google_Art_Project.jpg,Dark Academia,Dark Academia,Dark Academia
Woman with a Hat,https://upload.wikimedia.org/wikipedia/en/f/fb/Matisse-Woman-with-a-Hat.jpg,Coquette,Coquette,Coquette
The Council Chamber in Amsterdam Town Hall,https://upload.wikimedia.org/wikipedia/commons/0/0b/Pieter_de_Hooch_-_The_Council_Chamber_in_Amsterdam_Town_Hall_-_WGA11710.jpg,Red Academia,Southern Gothic,Old Money
Wood splitters,https://upload.wikimedia.org/wikipedia/commons/8/8e/Tom_Roberts_-_Wood_Splitters%2C_1886_2.jpg,Cottagecore,Southern Gothic,Naturecore
Green Wheat Field with Cypress,https://upload.wikimedia.org/wikipedia/commons/e/e7/Vincent_van_Gogh_-_Green_Field_-_Google_Art_Project.jpg,Naturecore,Warmcore,Naturecore
"At the Moulin Rouge, The Dance",https://upload.wikimedia.org/wikipedia/commons/2/27/Henri_de_Toulouse-Lautrec_-_At_the_Moulin_Rouge_-_Google_Art_Project.jpg,Peoplehood,After Hours,Dreamcore
Not to Be Reproduced,https://upload.wikimedia.org/wikipedia/en/6/62/Portrait_of_Edward_James.jpg,Sadpeople,After Hours,Dreamcore
Romeo and Juliet: the Tomb Scene,https://upload.wikimedia.org/wikipedia/commons/5/58/Joseph_Wright_of_Derby._Romeo_and_Juliet._The_Tomb_Scene._exhibited_1790_and_1791.jpg,Soft Macabre,Hopecore,Lovecore
Two Watermills and an Open Sluice near Singraven,https://upload.wikimedia.org/wikipedia/commons/1/14/Jacob_Isaacksz._van_Ruisdael_-_Two_Watermills_and_an_Open_Sluice_near_Singraven_-_WGA20466.jpg,Cottagecore,Cottagecore,Cottagecore
Ploughing in the Nivernais,https://upload.wikimedia.org/wikipedia/commons/1/17/Rosa_Bonheur_-_Ploughing_in_Nevers_-_Google_Art_Project.jpg,Naturecore,Cottagecore,Naturecore
In a Roman Osteria,https://upload.wikimedia.org/wikipedia/commons/f/ff/Carl_Bloch_-_In_a_Roman_Osteria_-_Google_Art_Project.jpg,Teenage Dream,Teenage Dream,Bimbocore
La Mousmé,https://upload.wikimedia.org/wikipedia/commons/7/7b/Vangogh_mousme.jpg,That Girl,Cottagecore,Coquette
Portrait of Georg Fugger,https://upload.wikimedia.org/wikipedia/commons/d/da/Giovanni_Bellini_-_Portrait_of_Joerg_Fugger_%281474%29.jpg,Dark Academia,Dark Academia,Old Money
The Resurrection (Piero della Francesca),https://upload.wikimedia.org/wikipedia/commons/1/19/Sleeping_guards_%28Piero_della_Francesca%29.jpg,Sadpeople,Sleepycore,Hopecore
Poplars (Monet series),https://upload.wikimedia.org/wikipedia/commons/c/cd/Monet_Poplars_in_the_Sun.jpg,Naturecore,Warmcore,Naturecore
The Meeting Between Abraham and Melchizedek (Rubens),https://upload.wikimedia.org/wikipedia/commons/9/9e/Rubens%2C_incontro_di_caen.jpg,Sigma,Dreamcore,Peoplehood
The Three Crosses,https://upload.wikimedia.org/wikipedia/commons/8/81/Rembrandt_The_Three_Crosses_1653.jpg,Angelcore,Hopecore,Dethereal
Walk on the Beach,https://upload.wikimedia.org/wikipedia/commons/d/d9/Joaqu%C3%ADn_Sorolla_y_Bastida_-_Strolling_along_the_Seashore_-_Google_Art_Project.jpg,Old Money,Old Money,Old Money
The Architect's Dream,https://upload.wikimedia.org/wikipedia/commons/6/6c/Thomas_Cole_-_Architect%E2%80%99s_Dream_-_Google_Art_Project.jpg,Dreamcore,Light Academia,Dreamcore
Head on a Green Sofa,https://upload.wikimedia.org/wikipedia/en/8/82/Lucian_Freud_-_Head_on_a_Green_Sofa_%28reduced_300px%29.jpg,Hermaphroditus,Comfy/Cozy,Bimbocore
Ferdinand Lured by Ariel,https://upload.wikimedia.org/wikipedia/commons/5/51/Millais_ferdy.jpg,Dreamcore,Dreamcore,Dreamcore
Christ on the Cross Adored by Two Donors,https://upload.wikimedia.org/wikipedia/commons/3/3b/El_Greco_-_Le_Christ_en_croix_ador%C3%A9_par_deux_donateurs_02.jpg,Dreamcore,Dreamcore,Dreamcore
Christ on the Mount of Olives (Paul Gauguin),https://upload.wikimedia.org/wikipedia/commons/b/b2/Gauguin-christ-in-garden.jpg,Doomer,Naturecore,Weirdcore
Le concert champêtre,https://upload.wikimedia.org/wikipedia/commons/1/1f/Corot_concert_champ%C3%AAtre_Cond%C3%A9_Chantilly.jpg,Cottagecore,Cottagecore,Cottagecore
Aqueduct near Rome,https://upload.wikimedia.org/wikipedia/commons/7/79/Cole_Thomas_Aqueduct_near_Rome_1832.jpg,Liminal Space,Liminal Space,Liminal Space
Sacred and Profane Love,https://upload.wikimedia.org/wikipedia/commons/e/ed/Tiziano_-_Amor_Sacro_y_Amor_Profano_%28Galer%C3%ADa_Borghese%2C_Roma%2C_1514%29.jpg,Angelcore,Light Academia,Lovecore
"Christ Carrying the Cross (Bosch, Ghent)",https://upload.wikimedia.org/wikipedia/commons/1/14/Jheronimus_Bosch_or_follower_001.jpg,Bastardcore,Dreamcore,Weirdcore
The Three Ages of Woman (Klimt),https://upload.wikimedia.org/wikipedia/commons/0/02/The_Three_Ages_of_Woman.jpg,Peoplehood,That Girl,That Girl
Black Woman with Peonies,https://upload.wikimedia.org/wikipedia/commons/a/a7/Young_Woman_with_Peonies_A32212.jpg,Bloomcore,Bloomcore,Bloomcore
San Gregorio Polyptych,https://upload.wikimedia.org/wikipedia/commons/4/41/Antonello_da_Messina_Madonna_del_Rosario.jpg,Dark Academia,Hopecore,Light Academia
Portrait of a Man (Batoni),https://upload.wikimedia.org/wikipedia/commons/3/3d/Portrait_de_John_Scott_Pompeo_Batoni.png,Old Money,Pastels,Old Money
Madonna of Chancellor Rolin,https://upload.wikimedia.org/wikipedia/commons/2/2d/Virgin_with_Chancellor_Rolin_Luber.jpg,Angelcore,Queencore,Old Money
Pope Paul III and His Grandsons,https://upload.wikimedia.org/wikipedia/commons/a/ab/Titian_-_Pope_Paul_III_with_his_Grandsons_Alessandro_and_Ottavio_Farnese_-_WGA22985.jpg,Red Academia,Red Academia,Old Money
The Story of Virginia (Botticelli),https://upload.wikimedia.org/wikipedia/commons/c/c9/VirginiaBotticelli.jpg,Peoplehood,That Girl,Dark Academia
